2094,556882,6628,16999
2249,654161,14047,7206
7911,157008,5606,2439
9491,483268,9213,6829
6001,868316,19167,309
39,641644,15093,20037
7057,100515,10478,13691
1570,436366,16885,23992
2647,637464,14900,18021
2741,834450,10555,2142
4520,851535,2082,22908
3074,419082,14453,28785
4655,816552,3297,24724
1938,237999,4107,9068
8162,729510,4194,11099
5429,61025,4960,20222
7093,536107,10204,21215
4387,918815,14112,15894
5019,523643,9360,23701
2220,385722,5417,23499
219,705547,10836,3434
8689,511432,13066,2910
5060,941161,18551,28217
8136,171323,8673,23134
7940,956059,16465,21282
8474,482093,3453,25409
749,882145,7431,4083
7094,946338,10220,19268
9064,131463,4840,26500
6611,722853,18146,21742
2683,401885,3412,1173
770,983502,7497,14514
6492,529906,2815,22708
2728,182079,4743,11853
2415,468161,6095,21314
5815,503911,15237,21811
3340,391503,18431,19241
5315,671888,3120,26996
2499,875727,19503,23516
6792,513056,12115,26127
359,832313,8650,14396
1037,318339,9603,2369
329,178861,12227,7642
6234,939351,13740,7240
5226,421828,5069,6430
2331,827021,6407,21409
5633,475015,15909,28807
9377,660807,5997,21836
9356,645812,14308,10409
4604,698071,14203,13161
6189,544941,9930,181
4218,833557,12577,9990
4045,188971,16510,25609
4297,383631,8884,23631
2124,106910,17005,24835
5334,658095,13982,2120
8539,905275,19642,14190
4113,617048,18437,20935
5153,140187,5555,19422
4701,55413,16266,6288
3894,139901,18364,9686
7686,67276,13747,6427
7586,475330,17769,15139
5393,708660,12184,15402
8014,332821,7065,3958
6437,264920,1331,4652
4208,426253,19995,13729
706,717503,10932,27439
9525,163012,7114,10455
2319,298206,9624,15615
9933,237265,15742,28880
1420,970590,17842,15792
3527,428053,19119,18431
574,158091,19054,20101
3065,720951,10933,4140
1093,200328,474,14746
1234,211755,10598,5857
4160,601498,4397,10846
2463,726935,17036,13658
1378,696452,16281,7143
2895,772413,19582,12638
7084,605162,5838,19088
3295,531314,12673,11604
6976,766786,6910,22411
739,291963,17505,28170
7492,316254,3080,9917
1174,234097,8583,26266
4886,188083,12283,19716
3321,37514,3500,5584
851,788228,12003,17882
5601,147181,18080,4652
5775,479534,12614,28142
7984,511716,19959,28336
824,267335,783,28506
5370,442532,15499,25888
3444,489001,7533,12205
167,947805,12595,21359
9320,653834,6462,20221
7077,371187,10677,14167
1461,113264,6999,384
726,719523,19847,22405
6255,395347,15557,28730
6732,504282,5624,22220
7126,916516,15848,3745
574,211193,9411,11377
3918,240444,13119,24304
4369,515005,4079,16283
8695,997015,2147,5342
85,159382,15776,2968
3340,869635,6814,5174
4723,90932,4027,27571
3195,654373,2353,9671
7550,355276,14557,13925
9554,329541,19011,14629
7953,654707,1185,16764
7889,707858,9714,19603
9389,380533,19452,27212
3071,272548,18858,14186
9747,41962,19132,27541
7227,834650,15112,3592
8648,782298,9041,7988
563,772451,1745,8341
6379,888576,5698,25996
1181,116057,14876,2693
8076,462164,15759,4701
7151,155347,17594,28378
5816,561019,9435,16237
8954,378723,9108,22801
9157,402556,3643,17637
6679,178696,9884,19855
7008,957619,9492,22637
5009,73183,2062,25351
541,30381,3867,28079
5735,491340,12895,28519
5168,445964,14258,16918
7500,868687,5022,24615
418,368948,16789,16438
7164,939810,1211,19678
1728,958189,5347,16434
8564,623790,10010,2052
4040,915567,6301,12345
5614,989117,1902,19136
7215,603373,19288,13052
6264,877630,11211,20132
319,843863,6836,10998
3416,138133,18486,6753
1202,764877,5796,25472
1388,730530,90,24510
9857,986216,19457,3290
3213,445075,6378,26316
2160,677906,10284,2512
6987,46908,19447,24443
56,144063,16766,18839
5359,503343,18034,18257
5109,802554,13890,22769
4146,145843,7644,22626
7538,264185,18079,9248
5301,562708,8507,24302
1817,628445,1228,25496
7194,92473,4314,3926
7360,449845,13092,17880
4324,321124,9072,19025
8740,650035,1717,24631
2319,618410,3938,9213
234,557672,17194,12657
2076,168052,15229,3549
7320,707643,9886,22512
2696,757273,3422,25689
7820,872762,11994,28082
645,443445,1794,28478
777,986667,10059,5659
7578,653083,9707,27075
8988,892093,18038,7945
6056,570767,17969,19449
3416,81943,3905,5519
3868,737487,15096,13310
734,995574,1724,20999
2621,173441,16090,19779
6149,943032,16546,17839
4384,367958,9476,26245
2326,47909,6023,29864
9216,311067,13783,11151
8659,20762,11360,3340
5443,452929,1297,2210
4694,688461,10557,16050
8554,712863,12832,18232
8708,495510,5965,1842
5828,238303,12256,28869
5737,561502,7202,8288
4178,558757,17790,7541
2243,652764,18861,7367
3869,769307,11768,25651
9646,326692,11837,11677
3074,494102,16130,2613
5927,579102,16275,4253
7894,433742,17373,8472
5487,895989,3534,725
1177,559741,16968,5413
4880,523408,3107,20069
1610,444926,5833,18913
6526,730231,13357,21851
3601,649706,5846,3172
1987,316912,5354,4073
1595,62597,3624,13875
9093,515171,9635,29599
2605,972904,8565,23703
1887,965898,1756,14919
2142,703999,83,6252
2090,347768,11896,17486
3615,884118,7162,24571
3406,271417,9802,12488
1923,674610,11322,11378
1736,122142,485,16796
3293,730675,7542,5171
6179,199753,6742,23279
750,123154,9417,25291
101,501545,11802,6518
7240,395514,891,7785
2188,522266,7273,25656
5256,176522,1364,25458
2880,541327,9308,8232
6206,913830,6341,3911
7785,560015,7242,29244
3885,233854,17232,12525
7796,893950,15907,21422
4151,597729,17577,18460
9829,855656,13468,2696
7749,735466,11267,27935
8298,718216,10739,17029
3521,288641,3802,24867
9215,177809,16940,14602
1574,865977,2245,25527
6397,132476,19029,23974
7724,583936,13541,19900
5925,39673,11082,20214
5908,243902,14153,23680
8570,569882,16861,7005
5183,424189,15176,4487
308,983539,8723,28787
5278,238897,12590,3199
585,129020,1629,9719
5427,266464,12203,12474
6958,117045,6191,25647
3413,887616,8648,537
5565,953887,6260,5607
7312,208680,18935,29496
2878,333063,11892,20446
1510,594632,10248,12553
4921,510413,18525,4574
9288,352661,19264,15823
7737,619141,18113,11645
8718,580502,12753,17816
2250,169677,13137,9245
4205,424665,17141,1193
9415,962949,3128,18383
378,741227,3617,14448
5469,740270,11985,29122
524,81275,10051,8274
9863,957642,12942,21084
4698,980869,4067,9769
9138,379907,4739,4850
5159,541764,8824,18220
3689,600141,11296,19902
7690,859872,4,24779
7976,730109,12659,4964
2696,232609,112,5330
7621,958865,7525,10326
8269,483122,5141,25799
6552,785480,12451,6092
3845,159060,5643,26977
4883,902708,8620,89
3825,584286,7415,4865
178,66084,5180,709
52,230459,8231,21863
7881,706123,7898,26145
2415,951057,18852,26763
4068,804758,19884,15472
7437,549352,15863,10213
9067,291624,4559,14129
7859,352601,16212,15475
7367,62694,14340,18319
9517,120970,13838,16239
9157,900499,1628,20276
2225,946890,18228,5675
7843,563258,7267,8286
1344,306041,19656,22580
9572,130729,19305,16743
5809,188060,16894,24273
5677,882286,13682,5595
6805,525128,6573,25348
4710,291059,17311,1260
3676,986054,4237,2629
8607,527485,19870,12683
3886,767798,5577,2028
9742,312989,4551,1327
662,320799,13547,12090
6169,791567,19637,9287
4629,414664,19781,16498
6119,899988,16436,29014
6382,578857,14253,23277
5709,593835,14481,29606
4016,312003,8901,10005
236,801731,8982,16684
9257,581578,7031,14096
3377,822055,12501,28974
2646,420392,14605,15764
8369,74609,13317,1423
3257,152279,13700,29079
9528,772354,19995,23467
75,892565,16602,14124
7036,748470,11085,9107
992,324142,14055,19045
6136,425672,17958,7231
7051,503917,3061,633
6957,410339,8305,29482
7528,681712,3607,9349
9480,716257,16762,24676
6024,662458,5474,28249
3296,719407,14360,7129
3424,491126,19149,69
9942,332840,12620,7761
7988,944929,10285,27775
3991,859280,11746,19830
6711,36941,19686,29728
2910,306354,3706,12447
318,909595,14782,20881
7489,105278,4652,19803
7538,287532,4178,23820
4770,384549,960,22642
4309,194410,2623,26675
5421,891378,8489,8192
8250,882666,5583,11526
157,109579,2655,9470
3877,476042,10596,6236
1316,39333,2131,8626
6046,987156,11202,21601
4544,568132,5805,21233
4251,56761,8312,14624
6244,290419,13906,9984
1601,566994,1972,9225
3921,471477,3541,22665
6886,856111,15867,4599
5299,837611,15871,23408
1670,624489,16942,28454
371,133606,17591,6435
8859,401529,12854,23294
3069,709388,7569,403
6115,416405,13084,23326
9248,31795,18293,21638
2186,561316,14555,17351
9509,644214,18342,25304
5396,811958,9055,14063
3792,91149,2905,25637
8301,29185,15114,28501
6706,328343,2875,6206
5312,697997,7291,9378
3712,796569,12796,6238
9463,542705,9722,15945
2187,406749,19484,1661
8776,556831,7358,26909
3748,487500,9497,15862
8962,482795,17087,23792
8467,57802,12998,24702
1530,763812,5011,10490
2701,485825,19529,10383
4327,433090,4702,26653
3406,338057,18184,13528
6641,64251,14402,22924
5031,260754,1503,11968
3336,838462,3161,19091
6556,857734,9550,14584
1134,317260,13416,25751
1056,617382,5469,16420
7146,395095,5448,203
1030,833232,5513,16035
4173,890101,18440,28028
798,79350,11969,18586
5294,852676,9000,16151
3286,274508,4920,5708
9012,281391,1349,6712
8150,337593,7750,3533
1787,840630,6163,22859
824,372051,735,22172
5341,961370,6447,4502
1640,217691,10845,8598
1640,901254,7465,9953
2363,477699,16184,13121
5938,92791,10944,27455
8302,706206,15766,22106
9397,55268,8381,7621
895,295440,3605,3482
9151,484289,17692,8223
1120,316315,6407,7031
1265,871329,10006,21674
6488,589578,4949,19004
3095,265177,8726,2450
2528,103691,17905,15034
4224,462051,13329,7903
2022,379193,4072,11430
2113,347852,9109,1026
8329,853006,16151,26295
6354,110537,16580,4949
13,797077,16423,25211
4974,115332,3569,13585
2143,422575,17322,26919
9946,273792,14311,14396
8375,234481,3290,21614
5364,770480,8769,674
7299,241839,167,15475
7246,179626,11335,17830
2766,734678,10957,14152
4523,955487,2037,13587
6799,60460,9878,7275
6681,691590,2226,26313
1303,793403,14810,26849
1465,836102,16089,25981
6468,252820,7433,7239
7613,748131,3826,20820
4669,169192,16264,21236
8894,579917,17557,22953
2528,508720,5350,20278
7700,48204,3201,24609
607,95402,9846,17940
6133,291534,6291,22754
6800,489255,18940,2171
5875,936158,3308,10322
4159,794767,10627,6857
7370,274677,12355,10741
5612,140014,12659,5492
4723,640649,4599,28622
7487,648558,6700,27975
5262,867811,5334,29359
4991,152355,14284,2639
6079,153460,2278,24203
7685,317208,10993,7639
6601,185722,16419,25351
1233,968428,6742,27773
7630,182275,6879,6614
2533,785919,19486,10733
9950,435664,11933,25079
437,695407,7383,22630
6028,681107,6396,24553
711,455562,9290,24968
8776,33013,14837,18950
9772,111197,13134,20497
741,949478,9790,3052
3883,579814,2796,24027
5593,765332,10741,17478
5132,410424,18460,9238
9323,809704,1770,28227
